p(V*),RR,r_V,P_L,R*/R,R*
0.5,0.25,0.5,0.5,1.3333333333333333,0.3333333333333333
0.5,0.25,0.5,0.75,2.4,0.6
0.5,0.25,0.5,0.9,3.272727272727274,0.8181818181818185
0.5,0.25,0.5,1,4,1
0.5,0.25,0.75,0.5,0.5714285714285714,0.14285714285714285
0.5,0.25,0.75,0.75,0.9230769230769231,0.23076923076923078
0.5,0.25,0.75,0.9,1.161290322580645,0.29032258064516125
0.5,0.25,0.75,1,1.3333333333333333,0.3333333333333333
0.5,0.25,0.9,0.5,0.4800000000000001,0.12000000000000002
0.5,0.25,0.9,0.75,0.7659574468085106,0.19148936170212766
0.5,0.25,0.9,0.9,0.9557522123893806,0.23893805309734514
0.5,0.25,0.9,1,1.0909090909090908,0.2727272727272727
0.5,0.25,1,0.5,0.4444444444444444,0.1111111111111111
0.5,0.25,1,0.75,0.7058823529411765,0.17647058823529413
0.5,0.25,1,0.9,0.878048780487805,0.21951219512195125
0.5,0.25,1,1,1,0.25
